# of elements,operation,duration (ns)
272310,Find,790
272310,Delete,1014
272310,Memory,7690888
272410,Insert,1783
272410,Find,661
272410,Delete,999
272410,Memory,7714184
272510,Insert,1963
272510,Find,1042
272510,Delete,1411
272510,Memory,7697080
272610,Insert,1413
272610,Find,849
272610,Delete,1173
272610,Memory,7718792
272710,Insert,960
272710,Find,636
272710,Delete,1003
272710,Memory,7710728
272810,Insert,1264
272810,Find,591
272810,Delete,959
272810,Memory,7713560
272910,Insert,1188
272910,Find,567
272910,Delete,1043
272910,Memory,7715656
273010,Insert,1277
273010,Find,665
273010,Delete,910
273010,Memory,7706872
273110,Insert,1238
273110,Find,599
273110,Delete,984
273110,Memory,7702152
273210,Insert,1239
273210,Find,724
273210,Delete,903
273210,Memory,7715624
273310,Insert,1830
273310,Find,1070
273310,Delete,1814
273310,Memory,7715176
273410,Insert,1354
273410,Find,635
273410,Delete,1337
273410,Memory,7738952
273510,Insert,1377
273510,Find,748
273510,Delete,880
273510,Memory,7728936
273610,Insert,1387
273610,Find,777
273610,Delete,925
273610,Memory,7727976
273710,Insert,1295
273710,Find,678
273710,Delete,1370
273710,Memory,7730616
273810,Insert,1325
273810,Find,719
273810,Delete,855
273810,Memory,7740584
273910,Insert,1041
273910,Find,674
273910,Delete,954
273910,Memory,7750200
274010,Insert,2424
274010,Find,1127
274010,Delete,1967
274010,Memory,7739464
274110,Insert,1379
274110,Find,846
274110,Delete,1405
274110,Memory,7743448
274210,Insert,1499
274210,Find,836
274210,Delete,1104
274210,Memory,7746856
274310,Insert,1474
274310,Find,1702
274310,Delete,998
274310,Memory,7751560
274410,Insert,1276
274410,Find,715
274410,Delete,1066
274410,Memory,7751352
274510,Insert,1162
274510,Find,672
274510,Delete,935
274510,Memory,7755592
274610,Insert,1034
274610,Find,601
274610,Delete,1003
274610,Memory,7760008
274710,Insert,1172
274710,Find,632
274710,Delete,936
274710,Memory,7763016
274810,Insert,1388
274810,Find,641
274810,Delete,921
274810,Memory,7759496
274910,Insert,907
274910,Find,652
274910,Delete,1170
274910,Memory,7763592
275010,Insert,2244
275010,Find,1126
275010,Delete,1814
275010,Memory,7771816
275110,Insert,1227
275110,Find,744
275110,Delete,960
275110,Memory,7765208
275210,Insert,2200
275210,Find,765
275210,Delete,1267
275210,Memory,7771080
275310,Insert,1433
275310,Find,590
275310,Delete,861
275310,Memory,7775240
275410,Insert,1705
275410,Find,894
275410,Delete,1261
275410,Memory,7778168
275510,Insert,1976
275510,Find,632
275510,Delete,930
275510,Memory,7784456
275610,Insert,1330
275610,Find,591
275610,Delete,954
275610,Memory,7789144
275710,Insert,1594
275710,Find,787
275710,Delete,1062
275710,Memory,7786376
275810,Insert,1095
275810,Find,674
275810,Delete,972
275810,Memory,7786824
275910,Insert,1145
275910,Find,643
275910,Delete,1066
275910,Memory,7788424
276010,Insert,929
276010,Find,524
276010,Delete,1191
276010,Memory,7793224
276110,Insert,1730
276110,Find,844
276110,Delete,1153
276110,Memory,7803672
276210,Insert,1466
276210,Find,719
276210,Delete,878
276210,Memory,7798280
276310,Insert,1388
276310,Find,808
276310,Delete,967
276310,Memory,7798248
276410,Insert,1006
276410,Find,558
276410,Delete,932
276410,Memory,7807944
276510,Insert,1585
276510,Find,683
276510,Delete,1011
276510,Memory,7819416
276610,Insert,1239
276610,Find,724
276610,Delete,938
276610,Memory,7827016
276710,Insert,1318
276710,Find,683
276710,Delete,984
276710,Memory,7826696
276810,Insert,1209
276810,Find,592
276810,Delete,990
276810,Memory,7820232
276910,Insert,1078
276910,Find,706
276910,Delete,1004
276910,Memory,7823304
277010,Insert,1161
277010,Find,613
277010,Delete,897
277010,Memory,7830264
277110,Insert,1571
277110,Find,662
277110,Delete,1057
277110,Memory,7831016
277210,Insert,1185
277210,Find,628
277210,Delete,1102
277210,Memory,7830104
277310,Insert,1555
277310,Find,593
277310,Delete,1257
277310,Memory,7833480
277410,Insert,1482
277410,Find,877
277410,Delete,1061
277410,Memory,7831808
277510,Insert,1222
277510,Find,788
277510,Delete,1038
277510,Memory,7838024
277610,Insert,1309
277610,Find,765
277610,Delete,941
277610,Memory,7846248
277710,Insert,1257
277710,Find,629
277710,Delete,1083
277710,Memory,7842056
277810,Insert,1111
277810,Find,658
277810,Delete,1085
277810,Memory,7848072
277910,Insert,1163
277910,Find,723
277910,Delete,915
277910,Memory,7847272
278010,Insert,1214
278010,Find,623
278010,Delete,1146
278010,Memory,7858152
278110,Insert,1968
278110,Find,1042
278110,Delete,1466
278110,Memory,7857848
278210,Insert,1241
278210,Find,743
278210,Delete,1128
278210,Memory,7860648
278310,Insert,1191
278310,Find,716
278310,Delete,1033
278310,Memory,7860408
278410,Insert,1109
278410,Find,544
278410,Delete,1031
278410,Memory,7860328
278510,Insert,1630
278510,Find,834
278510,Delete,1185
278510,Memory,7873576
278610,Insert,1688
278610,Find,983
278610,Delete,960
278610,Memory,7871048
278710,Insert,1619
278710,Find,811
278710,Delete,1371
278710,Memory,7878152
278810,Insert,1066
278810,Find,1000
278810,Delete,1283
278810,Memory,7885168
278910,Insert,1217
278910,Find,600
278910,Delete,915
278910,Memory,7877632
279010,Insert,1255
279010,Find,658
279010,Delete,936
279010,Memory,7876904
279110,Insert,1245
279110,Find,686
279110,Delete,995
279110,Memory,7884664
279210,Insert,1215
279210,Find,640
279210,Delete,942
279210,Memory,7895912
279310,Insert,1200
279310,Find,750
279310,Delete,1021
279310,Memory,7887064
279410,Insert,1682
279410,Find,850
279410,Delete,1132
279410,Memory,7892456
279510,Insert,1170
279510,Find,3127
279510,Delete,1424
279510,Memory,7898024
279610,Insert,1294
279610,Find,681
279610,Delete,988
279610,Memory,7895944
279710,Insert,1715
279710,Find,867
279710,Delete,1194
279710,Memory,7915496
279810,Insert,1161
279810,Find,609
279810,Delete,909
279810,Memory,7907656
279910,Insert,8686
279910,Find,739
279910,Delete,904
279910,Memory,7900616
280010,Insert,1300
280010,Find,741
280010,Delete,924
280010,Memory,7907368
280110,Insert,1230
280110,Find,798
280110,Delete,1354
280110,Memory,7917896
280210,Insert,1052
280210,Find,567
280210,Delete,976
280210,Memory,7914728
280310,Insert,1097
280310,Find,613
280310,Delete,1040
280310,Memory,7929896
280410,Insert,1573
280410,Find,620
280410,Delete,943
280410,Memory,7916680
280510,Insert,1202
280510,Find,621
280510,Delete,985
280510,Memory,7917688
280610,Insert,1163
280610,Find,616
280610,Delete,1097
280610,Memory,7931208
280710,Insert,1251
280710,Find,957
280710,Delete,1275
280710,Memory,7935560
280810,Insert,1115
280810,Find,617
280810,Delete,942
280810,Memory,7933768
280910,Insert,1884
280910,Find,978
280910,Delete,1165
280910,Memory,7933560
281010,Insert,1290
281010,Find,669
281010,Delete,1089
281010,Memory,7939624
281110,Insert,1300
281110,Find,621
281110,Delete,865
281110,Memory,7952552
281210,Insert,1371
281210,Find,707
281210,Delete,976
281210,Memory,7942952
281310,Insert,889
281310,Find,680
281310,Delete,973
281310,Memory,7946808
281410,Insert,1322
281410,Find,624
281410,Delete,937
281410,Memory,7950120
281510,Insert,1477
281510,Find,723
281510,Delete,954
281510,Memory,7956520
281610,Insert,1210
281610,Find,641
281610,Delete,1009
281610,Memory,7955560
281710,Insert,1771
281710,Find,1002
281710,Delete,1422
281710,Memory,7969256
281810,Insert,1225
281810,Find,739
281810,Delete,1047
281810,Memory,7964808
281910,Insert,1223
281910,Find,686
281910,Delete,1035
281910,Memory,7974504
282010,Insert,1430
282010,Find,719
282010,Delete,855
282010,Memory,7961416
282110,Insert,1367
282110,Find,634
282110,Delete,1098
282110,Memory,7973096
282210,Insert,2034
282210,Find,1088
282210,Delete,1635
282210,Memory,7981384
282310,Insert,1254
282310,Find,653
282310,Delete,1110
282310,Memory,7980872
282410,Insert,1095
282410,Find,676
282410,Delete,988
282410,Memory,7974808
282510,Insert,1378
282510,Find,633
282510,Delete,950
282510,Memory,7980808
282610,Insert,1364
282610,Find,767
282610,Delete,1235
282610,Memory,7990296
282710,Insert,1261
282710,Find,719
282710,Delete,993
282710,Memory,7988136
282810,Insert,1149
282810,Find,746
282810,Delete,950
282810,Memory,7998728
282910,Insert,1267
282910,Find,772
282910,Delete,909
282910,Memory,7998920
283010,Insert,1140
283010,Find,661
283010,Delete,1114
283010,Memory,8004856
283110,Insert,950
283110,Find,574
283110,Delete,1019
283110,Memory,7999784
283210,Insert,1247
283210,Find,535
283210,Delete,1136
283210,Memory,8004712
283310,Insert,1171
283310,Find,771
283310,Delete,1059
283310,Memory,8006280
283410,Insert,1069
283410,Find,616
283410,Delete,1021
283410,Memory,8003272
283510,Insert,1215
283510,Find,726
283510,Delete,929
283510,Memory,8001608
283610,Insert,1092
283610,Find,662
283610,Delete,934
283610,Memory,8003688
283710,Insert,1053
283710,Find,736
283710,Delete,1023
283710,Memory,8014184
283810,Insert,1480
283810,Find,802
283810,Delete,1045
283810,Memory,8026728
283910,Insert,1645
283910,Find,765
283910,Delete,1101
283910,Memory,8024552
284010,Insert,1573
284010,Find,812
284010,Delete,1206
284010,Memory,8019496
284110,Insert,1289
284110,Find,692
284110,Delete,1061
284110,Memory,8033016
284210,Insert,1035
284210,Find,745
284210,Delete,1225
284210,Memory,8021960
284310,Insert,1228
284310,Find,538
284310,Delete,1291
284310,Memory,8030552
284410,Insert,1081
284410,Find,628
284410,Delete,996
284410,Memory,8034536
284510,Insert,1654
284510,Find,724
284510,Delete,914
284510,Memory,8030600
284610,Insert,1216
284610,Find,628
284610,Delete,1090
284610,Memory,8029992
284710,Insert,1297
284710,Find,607
284710,Delete,971
284710,Memory,8041976
284810,Insert,1087
284810,Find,657
284810,Delete,1126
284810,Memory,8047240
284910,Insert,1276
284910,Find,629
284910,Delete,1031
284910,Memory,8052312
285010,Insert,1442
285010,Find,641
285010,Delete,993
285010,Memory,8056008
285110,Insert,1758
285110,Find,616
285110,Delete,965
285110,Memory,8055816
285210,Insert,1386
285210,Find,651
285210,Delete,1070
285210,Memory,8047752
285310,Insert,1177
285310,Find,628
285310,Delete,980
285310,Memory,8058888
285410,Insert,1088
285410,Find,672
285410,Delete,896
285410,Memory,8056072
285510,Insert,1381
285510,Find,704
285510,Delete,6709
285510,Memory,8067048
285610,Insert,1263
285610,Find,706
285610,Delete,1223
285610,Memory,8063640
285710,Insert,1471
285710,Find,666
285710,Delete,996
285710,Memory,8079144
285810,Insert,1226
285810,Find,710
285810,Delete,1019
285810,Memory,8072712
285910,Insert,1011
285910,Find,610
285910,Delete,1088
285910,Memory,8091208
286010,Insert,1292
286010,Find,742
286010,Delete,1190
286010,Memory,8079912
286110,Insert,1015
286110,Find,667
286110,Delete,942
286110,Memory,8093768
286210,Insert,1017
286210,Find,694
286210,Delete,929
286210,Memory,8086136
286310,Insert,1239
286310,Find,599
286310,Delete,950
286310,Memory,8087272
286410,Insert,1206
286410,Find,625
286410,Delete,1051
286410,Memory,8089192
286510,Insert,1317
286510,Find,726
286510,Delete,1146
286510,Memory,8090664
286610,Insert,1335
286610,Find,698
286610,Delete,935
286610,Memory,8090888
286710,Insert,1367
286710,Find,665
286710,Delete,983
286710,Memory,8097976
286810,Insert,1234
286810,Find,613
286810,Delete,932
286810,Memory,8105032
286910,Insert,916
286910,Find,568
286910,Delete,931
286910,Memory,8105800
287010,Insert,1480
287010,Find,608
287010,Delete,6013
287010,Memory,8111080
287110,Insert,1342
287110,Find,781
287110,Delete,992
287110,Memory,8109320
287210,Insert,1201
287210,Find,732
287210,Delete,1020
287210,Memory,8118344
287310,Insert,1252
287310,Find,638
287310,Delete,988
287310,Memory,8107304
287410,Insert,1291
287410,Find,656
287410,Delete,869
287410,Memory,8122280
287510,Insert,1308
287510,Find,658
287510,Delete,937
287510,Memory,8120008
287610,Insert,1458
287610,Find,901
287610,Delete,1037
287610,Memory,8120024
287710,Insert,2301
287710,Find,1190
287710,Delete,1597
287710,Memory,8123784
287810,Insert,1469
287810,Find,768
287810,Delete,1027
287810,Memory,8136072
287910,Insert,1495
287910,Find,1730
287910,Delete,1410
287910,Memory,8141512
288010,Insert,1607
288010,Find,1307
288010,Delete,1687
288010,Memory,8135720
288110,Insert,1326
288110,Find,654
288110,Delete,1103
288110,Memory,8142320
288210,Insert,1175
288210,Find,648
288210,Delete,923
288210,Memory,8144904
288310,Insert,1725
288310,Find,679
288310,Delete,1035
288310,Memory,8139992
288410,Insert,1367
288410,Find,624
288410,Delete,948
288410,Memory,8151240
288510,Insert,34108
288510,Find,828
288510,Delete,1043
288510,Memory,8162360
288610,Insert,1204
288610,Find,643
288610,Delete,924
288610,Memory,8156712
288710,Insert,1849
288710,Find,594
288710,Delete,1298
288710,Memory,8153976
288810,Insert,1936
288810,Find,1043
288810,Delete,1556
288810,Memory,8162440
288910,Insert,1230
288910,Find,735
288910,Delete,1038
288910,Memory,8169848
289010,Insert,1132
289010,Find,711
289010,Delete,1057
289010,Memory,8166536
289110,Insert,1180
289110,Find,679
289110,Delete,967
289110,Memory,8176424
289210,Insert,1225
289210,Find,669
289210,Delete,886
289210,Memory,8172136
289310,Insert,1511
289310,Find,706
289310,Delete,1058
289310,Memory,8172520
289410,Insert,1444
289410,Find,747
289410,Delete,983
289410,Memory,8174296
289510,Insert,1438
289510,Find,755
289510,Delete,1036
289510,Memory,8175528
289610,Insert,1937
289610,Find,1030
289610,Delete,1475
289610,Memory,8176056
289710,Insert,1375
289710,Find,751
289710,Delete,1034
289710,Memory,8172360
289810,Insert,955
289810,Find,750
289810,Delete,1108
289810,Memory,8184488
289910,Insert,1485
289910,Find,724
289910,Delete,968
289910,Memory,8194472
290010,Insert,1317
290010,Find,649
290010,Delete,918
290010,Memory,8196312
290110,Insert,1285
290110,Find,631
290110,Delete,970
290110,Memory,8200712
290210,Insert,1437
290210,Find,829
290210,Delete,1033
290210,Memory,8197352
290310,Insert,1634
290310,Find,748
290310,Delete,1210
290310,Memory,8209384
290410,Insert,1440
290410,Find,785
290410,Delete,1041
290410,Memory,8204696
290510,Insert,1481
290510,Find,667
290510,Delete,886
290510,Memory,8202888
290610,Insert,1221
290610,Find,761
290610,Delete,1023
290610,Memory,8206088
290710,Insert,994
290710,Find,616
290710,Delete,1110
290710,Memory,8218344
290810,Insert,1279
290810,Find,791
290810,Delete,974
290810,Memory,8213688
290910,Insert,1241
290910,Find,709
290910,Delete,969
290910,Memory,8226472
291010,Insert,1450
291010,Find,637
291010,Delete,857
291010,Memory,8214856
291110,Insert,1595
291110,Find,729
291110,Delete,1029
291110,Memory,8226792
291210,Insert,2608
291210,Find,1174
291210,Delete,2149
291210,Memory,8232536
291310,Insert,1770
291310,Find,1017
291310,Delete,1148
291310,Memory,8231784
291410,Insert,1188
291410,Find,657
291410,Delete,879
291410,Memory,8230760
291510,Insert,1058
291510,Find,689
291510,Delete,896
291510,Memory,8230696
291610,Insert,1243
291610,Find,776
291610,Delete,1083
291610,Memory,8241016
291710,Insert,1575
291710,Find,656
291710,Delete,1061
291710,Memory,8227304
291810,Insert,1189
291810,Find,644
291810,Delete,1018
291810,Memory,8243320
291910,Insert,1375
291910,Find,631
291910,Delete,949
291910,Memory,8254376
292010,Insert,1460
292010,Find,636
292010,Delete,1058
292010,Memory,8258008
292110,Insert,1074
292110,Find,577
292110,Delete,1043
292110,Memory,8254600
292210,Insert,1180
292210,Find,619
292210,Delete,960
292210,Memory,8254776
292310,Insert,1372
292310,Find,667
292310,Delete,961
292310,Memory,8249256
292410,Insert,1385
292410,Find,727
292410,Delete,924
292410,Memory,8257256
292510,Insert,1388
292510,Find,731
292510,Delete,955
292510,Memory,8262952
292610,Insert,1263
292610,Find,597
292610,Delete,1014
292610,Memory,8262952
292710,Insert,1366
292710,Find,737
292710,Delete,863
292710,Memory,8262664
292810,Insert,1541
292810,Find,578
292810,Delete,939
292810,Memory,8268552
292910,Insert,1243
292910,Find,597
292910,Delete,1020
292910,Memory,8276232
293010,Insert,1509
293010,Find,526
293010,Delete,1015
293010,Memory,8281768
293110,Insert,1113
293110,Find,704
293110,Delete,907
293110,Memory,8282120
293210,Insert,1559
293210,Find,746
293210,Delete,990
293210,Memory,8287688
293310,Insert,1038
293310,Find,692
293310,Delete,1079
293310,Memory,8285464
293410,Insert,1233
293410,Find,726
293410,Delete,1002
293410,Memory,8284872
293510,Insert,1334
293510,Find,689
293510,Delete,996
293510,Memory,8294808
293610,Insert,1214
293610,Find,742
293610,Delete,983
293610,Memory,8296136
293710,Insert,1352
293710,Find,676
293710,Delete,930
293710,Memory,8287960
293810,Insert,1536
293810,Find,628
293810,Delete,1111
293810,Memory,8301064
293910,Insert,2064
293910,Find,617
293910,Delete,989
293910,Memory,8308680
294010,Insert,1443
294010,Find,618
294010,Delete,1294
294010,Memory,8305800
294110,Insert,1316
294110,Find,659
294110,Delete,1039
294110,Memory,8313464
294210,Insert,947
294210,Find,585
294210,Delete,1165
294210,Memory,8306664
294310,Insert,2193
294310,Find,1000
294310,Delete,1315
294310,Memory,8316984
294410,Insert,1396
294410,Find,585
294410,Delete,1108
294410,Memory,8324488
294510,Insert,1338
294510,Find,701
294510,Delete,964
294510,Memory,8315352
294610,Insert,1272
294610,Find,612
294610,Delete,1305
294610,Memory,8314504
294710,Insert,1303
294710,Find,689
294710,Delete,913
294710,Memory,8317080
294810,Insert,1657
294810,Find,800
294810,Delete,1067
294810,Memory,8329864
294910,Insert,1266
294910,Find,678
294910,Delete,963
294910,Memory,8330888
295010,Insert,1286
295010,Find,760
295010,Delete,1104
295010,Memory,8339304
295110,Insert,831
295110,Find,493
295110,Delete,1119
295110,Memory,8345480
295210,Insert,1186
295210,Find,739
295210,Delete,1083
295210,Memory,8340872
295310,Insert,1174
295310,Find,729
295310,Delete,909
295310,Memory,8338936
295410,Insert,1260
295410,Find,644
295410,Delete,986
295410,Memory,8345672
295510,Insert,1347
295510,Find,572
295510,Delete,975
295510,Memory,8350856
295610,Insert,3930
295610,Find,649
295610,Delete,1008
295610,Memory,8342504
295710,Insert,1212
295710,Find,636
295710,Delete,1381
295710,Memory,8355752
295810,Insert,1006
295810,Find,673
295810,Delete,1007
295810,Memory,8350088
295910,Insert,1128
295910,Find,604
295910,Delete,1078
295910,Memory,8354104
296010,Insert,2177
296010,Find,995
296010,Delete,1604
296010,Memory,8367400
296110,Insert,1084
296110,Find,610
296110,Delete,1255
296110,Memory,8361064
296210,Insert,1089
296210,Find,673
296210,Delete,997
296210,Memory,8373640
296310,Insert,1107
296310,Find,677
296310,Delete,1118
296310,Memory,8368680
296410,Insert,1747
296410,Find,640
296410,Delete,1039
296410,Memory,8377288
296510,Insert,1239
296510,Find,828
296510,Delete,1021
296510,Memory,8385864
296610,Insert,1369
296610,Find,614
296610,Delete,1027
296610,Memory,8381352
296710,Insert,1565
296710,Find,721
296710,Delete,965
296710,Memory,8381448
296810,Insert,1767
296810,Find,937
296810,Delete,1519
296810,Memory,8382344
296910,Insert,1187
296910,Find,600
296910,Delete,1140
296910,Memory,8387592
297010,Insert,1172
297010,Find,691
297010,Delete,1002
297010,Memory,8398648
297110,Insert,1276
297110,Find,634
297110,Delete,997
297110,Memory,8401768
297210,Insert,1328
297210,Find,561
297210,Delete,914
297210,Memory,8397064
297310,Insert,1342
297310,Find,639
297310,Delete,910
297310,Memory,8392552
297410,Insert,1094
297410,Find,527
297410,Delete,1189
297410,Memory,8407144
297510,Insert,2220
297510,Find,1061
297510,Delete,1644
297510,Memory,8400024
297610,Insert,1409
297610,Find,650
297610,Delete,1049
297610,Memory,8399560
297710,Insert,1025
297710,Find,764
297710,Delete,1210
297710,Memory,8413096
297810,Insert,1273
297810,Find,588
297810,Delete,1089
297810,Memory,8410504
297910,Insert,1019
297910,Find,824
297910,Delete,1105
297910,Memory,8411992
298010,Insert,1345
298010,Find,612
298010,Delete,1010
298010,Memory,8420392
298110,Insert,1236
298110,Find,807
298110,Delete,930
298110,Memory,8433048
298210,Insert,1358
298210,Find,684
298210,Delete,1021
298210,Memory,8426696
298310,Insert,1323
298310,Find,790
298310,Delete,1203
298310,Memory,8419576
298410,Insert,1413
298410,Find,614
298410,Delete,1022
298410,Memory,8424840
298510,Insert,1058
298510,Find,634
298510,Delete,949
298510,Memory,8433640
298610,Insert,1090
298610,Find,790
298610,Delete,1044
298610,Memory,8435080
298710,Insert,1053
298710,Find,564
298710,Delete,1038
298710,Memory,8436088
298810,Insert,1403
298810,Find,760
298810,Delete,1034
298810,Memory,8434952
298910,Insert,1336
298910,Find,789
298910,Delete,1151
298910,Memory,8444040
299010,Insert,1053
299010,Find,589
299010,Delete,1246
299010,Memory,8458856
299110,Insert,1462
299110,Find,594
299110,Delete,914
299110,Memory,8457560
299210,Insert,1150
299210,Find,655
299210,Delete,1000
299210,Memory,8452648
299310,Insert,1590
299310,Find,739
299310,Delete,1101
299310,Memory,8454648
299410,Insert,1212
299410,Find,567
299410,Delete,1143
299410,Memory,8459176
299510,Insert,1468
299510,Find,819
299510,Delete,987
299510,Memory,8454824
299610,Insert,1031
299610,Find,713
299610,Delete,955
299610,Memory,8460904
299710,Insert,1383
299710,Find,644
299710,Delete,886
299710,Memory,8453704
299810,Insert,1121
299810,Find,780
299810,Delete,827
299810,Memory,8467912
299910,Insert,1184
299910,Find,744
299910,Delete,980
299910,Memory,8474856
300010,Insert,1240
300010,Find,532
300010,Delete,1201
300010,Memory,8469512
300110,Insert,1613
300110,Find,628
300110,Delete,1004
300110,Memory,8474232
300210,Insert,1449
300210,Find,710
300210,Delete,974
300210,Memory,8484264
300310,Insert,1275
300310,Find,632
300310,Delete,977
300310,Memory,8482024
300410,Insert,1142
300410,Find,600
300410,Delete,979
300410,Memory,8479960
300510,Insert,1474
300510,Find,702
300510,Delete,900
300510,Memory,8488936
300610,Insert,1291
300610,Find,815
300610,Delete,974
300610,Memory,8494776
300710,Insert,1460
300710,Find,802
300710,Delete,942
300710,Memory,8492040
300810,Insert,1155
300810,Find,675
300810,Delete,1026
300810,Memory,8500360
300910,Insert,4130
300910,Find,670
300910,Delete,968
300910,Memory,8499464
301010,Insert,1080
301010,Find,616
301010,Delete,1107
301010,Memory,8503992
301110,Insert,1317
301110,Find,586
301110,Delete,909
301110,Memory,8514312
301210,Insert,1100
301210,Find,608
301210,Delete,826
301210,Memory,8514056
301310,Insert,1530
301310,Find,692
301310,Delete,975
301310,Memory,8508776
301410,Insert,1381
301410,Find,883
301410,Delete,1210
301410,Memory,8512248
301510,Insert,1066
301510,Find,656
301510,Delete,1060
301510,Memory,8503144
301610,Insert,1198
301610,Find,701
301610,Delete,924
301610,Memory,8523480
301710,Insert,1381
301710,Find,679
301710,Delete,1003
301710,Memory,8516296
301810,Insert,1212
301810,Find,563
301810,Delete,941
301810,Memory,8538232
301910,Insert,1679
301910,Find,933
301910,Delete,1378
301910,Memory,8528104
302010,Insert,1032
302010,Find,601
302010,Delete,1024
302010,Memory,8531448
302110,Insert,1015
302110,Find,541
302110,Delete,1139
302110,Memory,8534888
302210,Insert,1458
302210,Find,672
302210,Delete,943
302210,Memory,8537416
302310,Insert,910
302310,Find,622
302310,Delete,1319
302310,Memory,8540008
302410,Insert,1157
302410,Find,722
302410,Delete,1000
302410,Memory,8546568
302510,Insert,1125
302510,Find,635
302510,Delete,955
302510,Memory,8543784
302610,Insert,1094
302610,Find,823
302610,Delete,1144
302610,Memory,8550152
302710,Insert,1107
302710,Find,673
302710,Delete,1046
302710,Memory,8543240
302810,Insert,1285
302810,Find,672
302810,Delete,1075
302810,Memory,8553112
302910,Insert,1464
302910,Find,635
302910,Delete,917
302910,Memory,8550088
303010,Insert,2060
303010,Find,1225
303010,Delete,1291
303010,Memory,8550696
303110,Insert,1236
303110,Find,635
303110,Delete,1081
303110,Memory,8567528
303210,Insert,1066
303210,Find,730
303210,Delete,947
303210,Memory,8561224
303310,Insert,1491
303310,Find,703
303310,Delete,960
303310,Memory,8569480
303410,Insert,1233
303410,Find,714
303410,Delete,983
303410,Memory,8579272
303510,Insert,1262
303510,Find,678
303510,Delete,1265
303510,Memory,8568936
303610,Insert,1330
303610,Find,755
303610,Delete,1027
303610,Memory,8574136
303710,Insert,1487
303710,Find,651
303710,Delete,1227
303710,Memory,8575464
303810,Insert,1910
303810,Find,759
303810,Delete,1122
303810,Memory,8587816
303910,Insert,1349
303910,Find,618
303910,Delete,957
303910,Memory,8581992
304010,Insert,1563
304010,Find,691
304010,Delete,1087
304010,Memory,8588264
304110,Insert,1270
304110,Find,621
304110,Delete,1038
304110,Memory,8582792
304210,Insert,1958
304210,Find,814
304210,Delete,1194
304210,Memory,8598984
304310,Insert,1596
304310,Find,674
304310,Delete,994
304310,Memory,8597736
304410,Insert,1436
304410,Find,778
304410,Delete,963
304410,Memory,8606120
304510,Insert,1343
304510,Find,579
304510,Delete,1096
304510,Memory,8600296
304610,Insert,1778
304610,Find,792
304610,Delete,1015
304610,Memory,8601656
304710,Insert,1521
304710,Find,622
304710,Delete,914
304710,Memory,8603624
304810,Insert,1497
304810,Find,679
304810,Delete,1019
304810,Memory,8604952
304910,Insert,1118
304910,Find,591
304910,Delete,935
304910,Memory,8611496
305010,Insert,1379
305010,Find,916
305010,Delete,1052
305010,Memory,8613736
305110,Insert,2459
305110,Find,731
305110,Delete,949
305110,Memory,8616936
305210,Insert,1152
305210,Find,781
305210,Delete,891
305210,Memory,8630600
305310,Insert,1373
305310,Find,770
305310,Delete,1011
305310,Memory,8631080
305410,Insert,1817
305410,Find,975
305410,Delete,1537
305410,Memory,8636984
305510,Insert,1104
305510,Find,553
305510,Delete,1199
305510,Memory,8646152
305610,Insert,1524
305610,Find,749
305610,Delete,1021
305610,Memory,8635896
305710,Insert,1518
305710,Find,769
305710,Delete,1016
305710,Memory,8625576
305810,Insert,936
305810,Find,679
305810,Delete,1035
305810,Memory,8641768
305910,Insert,1050
305910,Find,583
305910,Delete,1176
305910,Memory,8641096
306010,Insert,1142
306010,Find,824
306010,Delete,1100
306010,Memory,8646136
306110,Insert,1481
306110,Find,740
306110,Delete,999
306110,Memory,8645032
306210,Insert,1272
306210,Find,689
306210,Delete,1051
306210,Memory,8647320
306310,Insert,1621
306310,Find,704
306310,Delete,1066
306310,Memory,8662888
306410,Insert,1404
306410,Find,691
306410,Delete,957
306410,Memory,8654616
306510,Insert,1079
306510,Find,565
306510,Delete,943
306510,Memory,8655240
306610,Insert,1248
306610,Find,673
306610,Delete,1186
306610,Memory,8665944
306710,Insert,1207
306710,Find,562
306710,Delete,1039
306710,Memory,8660392
306810,Insert,1344
306810,Find,693
306810,Delete,1006
306810,Memory,8663240
306910,Insert,1077
306910,Find,845
306910,Delete,924
306910,Memory,8668776
307010,Insert,1328
307010,Find,818
307010,Delete,1014
307010,Memory,8666808
307110,Insert,1323
307110,Find,599
307110,Delete,923
307110,Memory,8673800
307210,Insert,1173
307210,Find,636
307210,Delete,930
307210,Memory,8681144
307310,Insert,1373
307310,Find,708
307310,Delete,959
307310,Memory,8680904
307410,Insert,1147
307410,Find,777
307410,Delete,1053
307410,Memory,8693144
307510,Insert,1282
307510,Find,731
307510,Delete,926
307510,Memory,8681000
307610,Insert,1400
307610,Find,695
307610,Delete,907
307610,Memory,8698456
307710,Insert,10801
307710,Find,612
307710,Delete,963
307710,Memory,8698024
307810,Insert,2096
307810,Find,928
307810,Delete,1271
307810,Memory,8712552
307910,Insert,1563
307910,Find,584
307910,Delete,1009
307910,Memory,8702088
308010,Insert,1341
308010,Find,767
308010,Delete,996
308010,Memory,8707064
308110,Insert,1321
308110,Find,616
308110,Delete,919
308110,Memory,8698152
308210,Insert,1385
308210,Find,657
308210,Delete,1034
308210,Memory,8713144
308310,Insert,1630
308310,Find,768
308310,Delete,974
308310,Memory,8716936
308410,Insert,1484
308410,Find,638
308410,Delete,904
308410,Memory,8716008
308510,Insert,1168
308510,Find,640
